purchase_id,student_id,subscription_id,purchase_date,received_date,price,payment_provider,refund_id,refunded_date,subscription_type
2,139664,0,"2020-01-27 00:00:00","2021-01-28 23:41:52",40.19,1,NULL,NULL,0
3,1170,0,"2020-01-28 00:00:00","2021-01-28 23:41:53",221.41,1,NULL,NULL,2
4,6366,0,"2020-01-28 00:00:00","2021-01-28 23:41:53",421.28,1,NULL,NULL,2
6,24897,0,"2020-01-29 00:00:00","2021-01-28 23:41:53",38.25,1,NULL,NULL,0
7,6822,0,"2020-01-29 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
8,2765,0,"2020-01-29 00:00:00","2021-01-28 23:41:53",31.18,1,NULL,NULL,0
9,31627,0,"2020-01-29 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
10,72381,0,"2020-01-31 00:00:00","2021-01-28 23:41:53",31.18,1,NULL,NULL,0
11,26416,0,"2020-01-31 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
12,4698,0,"2020-01-31 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
13,2622,0,"2020-02-01 00:00:00","2021-01-28 23:41:53",198.65,1,NULL,NULL,2
14,2714,0,"2020-02-01 00:00:00","2021-01-28 23:41:53",417.29,1,NULL,NULL,2
15,23694,0,"2020-02-02 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
16,2851,0,"2020-02-02 00:00:00","2021-01-28 23:41:53",203.37,1,NULL,NULL,2
17,22735,0,"2020-02-02 00:00:00","2021-01-28 23:41:53",45.1,1,NULL,NULL,0
18,135384,0,"2020-02-03 00:00:00","2021-01-28 23:41:53",35.98,1,NULL,NULL,0
19,125191,0,"2020-02-03 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
20,20134,0,"2020-02-03 00:00:00","2021-01-28 23:41:53",43.91,1,NULL,NULL,0
21,3755,0,"2020-02-04 00:00:00","2021-01-28 23:41:53",184.05,1,NULL,NULL,2
22,3630,0,"2020-02-04 00:00:00","2021-01-28 23:41:53",200.58,1,NULL,NULL,2
23,3003,0,"2020-02-04 00:00:00","2021-01-28 23:41:53",331.57,1,NULL,NULL,2
24,12387,0,"2020-02-05 00:00:00","2021-01-28 23:41:53",33.94,1,NULL,NULL,0
25,6899,0,"2020-02-05 00:00:00","2021-01-28 23:41:53",197.35,1,NULL,NULL,2
26,135382,0,"2020-02-07 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
27,135383,0,"2020-02-07 00:00:00","2021-01-28 23:41:53",30.53,1,NULL,NULL,0
28,3565,0,"2020-02-08 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
29,35511,0,"2020-02-08 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
30,51952,0,"2020-02-08 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
31,9101,0,"2020-02-09 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
32,3783,0,"2020-02-09 00:00:00","2021-01-28 23:41:53",301.37,1,NULL,NULL,2
33,139837,0,"2020-02-10 00:00:00","2021-01-28 23:41:53",39.95,1,NULL,NULL,0
34,139836,0,"2020-02-11 00:00:00","2021-01-28 23:41:53",43.55,1,NULL,NULL,0
35,23221,0,"2020-02-11 00:00:00","2021-01-28 23:41:53",43.32,1,NULL,NULL,0
36,139815,0,"2020-02-11 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
37,2481,0,"2020-02-11 00:00:00","2021-01-28 23:41:53",203.2,1,NULL,NULL,2
38,139775,0,"2020-02-11 00:00:00","2021-01-28 23:41:53",221.52,1,NULL,NULL,2
39,43313,0,"2020-02-13 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
40,5235,0,"2020-02-14 00:00:00","2021-01-28 23:41:53",200.3,1,NULL,NULL,2
41,2633,0,"2020-02-14 00:00:00","2021-01-28 23:41:53",223.02,1,NULL,NULL,2
42,36407,0,"2020-02-14 00:00:00","2021-01-28 23:41:53",45.07,1,NULL,NULL,0
43,111756,0,"2020-02-15 00:00:00","2021-01-28 23:41:53",34.38,1,NULL,NULL,0
44,109048,0,"2020-02-15 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
45,19477,0,"2020-02-15 00:00:00","2021-01-28 23:41:53",200.12,1,NULL,NULL,2
46,5325,0,"2020-02-15 00:00:00","2021-01-28 23:41:53",278.4,1,NULL,NULL,2
47,23811,0,"2020-02-16 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
48,94985,0,"2020-02-16 00:00:00","2021-01-28 23:41:53",42.86,1,NULL,NULL,0
49,19342,0,"2020-02-16 00:00:00","2021-01-28 23:41:53",278.4,1,NULL,NULL,2
50,134790,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",278.4,1,NULL,NULL,2
51,100885,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",43.9,1,NULL,NULL,0
52,2377,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",184.51,1,NULL,NULL,2
53,57432,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",31.79,1,NULL,NULL,0
54,138863,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",31.25,1,NULL,NULL,0
55,32002,0,"2020-02-17 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
56,2704,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",348,1,NULL,NULL,2
57,139757,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
58,108763,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
59,104986,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
60,135381,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",28.8,1,NULL,NULL,0
61,6643,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",43.99,1,NULL,NULL,0
62,1544,0,"2020-02-18 00:00:00","2021-01-28 23:41:53",197.81,1,NULL,NULL,2
63,4685,0,"2020-02-19 00:00:00","2021-01-28 23:41:53",333.85,1,NULL,NULL,2
64,134839,0,"2020-02-19 00:00:00","2021-01-28 23:41:53",28.73,1,NULL,NULL,0
65,21966,0,"2020-02-19 00:00:00","2021-01-28 23:41:53",31.18,1,NULL,NULL,0
66,28074,0,"2020-02-19 00:00:00","2021-01-28 23:41:53",35.05,1,NULL,NULL,0
67,5339,0,"2020-02-19 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
68,14303,0,"2020-02-20 00:00:00","2021-01-28 23:41:53",32.01,1,NULL,NULL,0
69,25401,0,"2020-02-21 00:00:00","2021-01-28 23:41:53",42.44,1,NULL,NULL,0
70,12142,0,"2020-02-21 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
71,18240,0,"2020-02-22 00:00:00","2021-01-28 23:41:53",36,1,NULL,NULL,0
72,8081,0,"2020-02-22 00:00:00","2021-01-28 23:41:53",184.44,1,NULL,NULL,2
73,1698,0,"2020-02-22 00:00:00","2021-01-28 23:41:53",278.4,1,NULL,NULL,2
74,3120,0,"2020-02-22 00:00:00","2021-01-28 23:41:53",201.5,1,NULL,NULL,2
75,139312,0,"2020-02-23 00:00:00","2021-01-28 23:41:53",29.15,1,NULL,NULL,0
