subscription_id,student_id,created_date,subscription_period_start,cancelled_date,next_charge_date,updated_date,end_date,state,subscription_type
1,143334,"2021-01-28 23:44:10","2021-01-28 02:00:00",NULL,"2021-05-28 00:00:00","2021-01-28 07:30:35","2021-05-14 00:00:00",3,0
2,810,"2021-01-28 23:44:10","2021-01-28 02:00:00","2021-04-02 00:00:00","2022-02-28 00:00:00","2021-01-28 04:12:29","2022-02-28 00:00:00",3,2
3,4149,"2021-01-28 23:44:10","2021-01-27 02:00:00",NULL,"2024-01-27 00:00:00","2023-01-27 08:17:44",NULL,1,2
5,1023,"2021-01-28 23:44:10","2021-01-27 02:00:00",NULL,"2024-01-27 00:00:00","2023-01-27 08:20:58",NULL,1,2
6,906,"2021-01-28 23:44:10","2021-01-27 02:00:00","2021-02-15 00:00:00","2021-02-27 02:00:00",NULL,"2021-02-27 00:00:00",3,0
7,792,"2021-01-28 23:44:10","2021-01-27 02:00:00","2021-05-03 00:00:00","2021-05-27 00:00:00","2021-01-27 12:04:13","2021-05-27 00:00:00",3,0
8,940,"2021-01-28 23:44:10","2021-01-27 02:00:00","2021-02-22 00:00:00","2021-02-27 02:00:00",NULL,"2021-02-27 00:00:00",3,0
9,985,"2021-01-28 23:44:10","2021-01-26 02:00:00","2021-05-26 00:00:00","2021-06-26 00:00:00","2021-01-26 23:33:23","2021-06-26 00:00:00",3,0
10,143327,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2022-01-26 02:00:00",NULL,"2022-02-04 00:00:00",3,2
12,143325,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2022-01-26 02:00:00",NULL,NULL,1,2
13,1024,"2021-01-28 23:44:10","2021-01-26 02:00:00","2021-01-31 00:00:00","2022-01-26 02:00:00",NULL,"2022-01-26 00:00:00",2,2
14,1050,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2021-02-26 02:00:00",NULL,"2021-02-04 00:00:00",3,0
15,1151,"2021-01-28 23:44:10","2021-01-26 02:00:00","2021-01-26 02:00:00","2021-02-26 02:00:00",NULL,"2021-02-26 00:00:00",3,0
16,1063,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2021-06-26 00:00:00","2021-01-26 13:54:29","2021-07-01 00:00:00",3,0
17,1084,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2021-02-26 02:00:00",NULL,"2021-03-02 00:00:00",3,0
18,143315,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2021-02-26 02:00:00",NULL,"2021-02-04 00:00:00",3,0
19,143312,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2021-02-26 02:00:00",NULL,"2021-03-02 00:00:00",3,0
20,1105,"2021-01-28 23:44:10","2021-01-26 02:00:00",NULL,"2022-01-26 02:00:00",NULL,"2022-01-27 00:00:00",3,2
21,1156,"2021-01-28 23:44:10","2021-01-26 02:00:00","2022-01-26 00:00:00","2023-01-26 00:00:00","2022-12-13 23:23:13","2023-01-26 00:00:00",3,2
22,1176,"2021-01-28 23:44:10","2021-01-25 02:00:00","2022-01-25 00:00:00","2023-01-25 00:00:00","2021-01-25 20:13:25","2023-01-25 00:00:00",3,2
23,958,"2021-01-28 23:44:10","2021-01-25 02:00:00",NULL,"2022-01-25 02:00:00",NULL,"2022-02-03 00:00:00",3,2
24,1488,"2021-01-28 23:44:10","2021-01-25 02:00:00","2021-05-15 00:00:00","2021-05-25 00:00:00","2021-01-25 14:55:19","2021-05-25 00:00:00",3,0
26,1065,"2021-01-28 23:44:10","2021-01-25 02:00:00",NULL,"2021-03-25 00:00:00","2021-01-25 05:01:23","2021-02-25 00:00:00",3,0
27,1292,"2021-01-28 23:44:10","2021-01-25 02:00:00","2022-04-25 00:00:00","2022-04-25 00:00:00","2021-01-25 04:00:54","2022-04-25 00:00:00",3,2
28,1959,"2021-01-28 23:44:10","2021-01-25 02:00:00","2021-09-25 00:00:00","2021-09-25 00:00:00","2021-01-25 00:58:48","2021-09-25 00:00:00",3,0
29,1209,"2021-01-28 23:44:10","2021-01-24 02:00:00","2022-04-18 00:00:00","2022-04-24 00:00:00","2021-01-24 23:22:42","2022-04-24 00:00:00",3,2
30,1310,"2021-01-28 23:44:10","2021-01-24 02:00:00","2021-09-26 00:00:00","2021-10-24 00:00:00","2021-01-24 22:39:15","2021-10-24 00:00:00",3,0
31,890,"2021-01-28 23:44:10","2021-01-24 02:00:00","2022-01-26 00:00:00","2023-01-24 00:00:00","2021-01-24 19:16:59","2022-01-27 00:00:00",3,2
32,3187,"2021-01-28 23:44:10","2021-01-24 02:00:00",NULL,"2023-01-24 00:00:00","2021-01-24 18:25:33","2022-01-24 00:00:00",3,2
33,1324,"2021-01-28 23:44:10","2021-01-24 02:00:00",NULL,"2022-01-24 02:00:00",NULL,"2022-02-02 00:00:00",3,2
34,1427,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2021-02-23 02:00:00",NULL,"2021-02-27 00:00:00",3,0
35,1957,"2021-01-28 23:44:10","2021-01-23 02:00:00","2022-01-31 00:00:00","2022-01-23 02:00:00",NULL,"2022-01-23 00:00:00",3,2
36,1450,"2021-01-28 23:44:10","2021-01-23 02:00:00","2021-02-23 00:00:00","2021-03-23 00:00:00","2021-01-23 19:58:04","2021-02-23 00:00:00",3,0
37,1478,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2023-01-23 00:00:00","2021-01-23 16:46:58","2022-01-24 00:00:00",3,2
38,1491,"2021-01-28 23:44:10","2021-01-23 02:00:00","2021-08-11 00:00:00","2022-01-23 02:00:00",NULL,"2022-01-23 00:00:00",3,2
39,1537,"2021-01-28 23:44:10","2021-01-23 02:00:00","2022-02-09 00:00:00","2023-01-23 00:00:00","2021-01-23 07:31:35","2023-01-23 00:00:00",3,2
40,1534,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2022-01-23 02:00:00",NULL,NULL,1,2
41,1760,"2021-01-28 23:44:10","2021-01-23 02:00:00","2021-01-30 00:00:00","2021-02-23 02:00:00",NULL,"2021-02-23 00:00:00",3,0
42,143301,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2021-02-23 02:00:00",NULL,"2021-02-27 00:00:00",3,0
43,1565,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2021-02-23 02:00:00",NULL,"2021-02-03 00:00:00",3,0
44,1566,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2021-02-23 02:00:00",NULL,"2021-02-27 00:00:00",3,0
45,1574,"2021-01-28 23:44:10","2021-01-23 02:00:00",NULL,"2021-02-23 02:00:00",NULL,"2021-02-27 00:00:00",3,0
46,1579,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-26 00:00:00",3,0
47,1554,"2021-01-28 23:44:10","2021-01-22 02:00:00","2021-03-22 00:00:00","2021-04-22 00:00:00","2021-01-22 19:09:32","2021-04-22 00:00:00",3,0
48,143299,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-18 00:00:00",3,0
49,143298,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-04 00:00:00",3,0
50,143297,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-26 00:00:00",3,0
51,143296,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-26 00:00:00",3,0
52,1703,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2022-01-22 02:00:00",NULL,"2022-01-31 00:00:00",3,2
53,1727,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2024-01-22 00:00:00","2023-01-22 08:08:41",NULL,1,2
54,1733,"2021-01-28 23:44:10","2021-01-22 02:00:00","2021-11-29 00:00:00","2022-01-22 02:00:00",NULL,"2022-01-22 00:00:00",3,2
55,1739,"2021-01-28 23:44:10","2021-01-22 02:00:00","2022-01-24 00:00:00","2023-01-22 00:00:00","2021-01-22 05:11:18","2022-01-25 00:00:00",3,2
56,1626,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2023-01-22 00:00:00","2021-01-22 04:48:46","2022-01-24 00:00:00",3,2
57,143294,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,"2021-02-04 00:00:00",3,0
58,1742,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2022-01-22 02:00:00",NULL,"2022-01-31 00:00:00",3,2
59,143293,"2021-01-28 23:44:10","2021-01-22 02:00:00","2021-01-22 02:00:00","2021-02-22 02:00:00",NULL,"2021-02-22 00:00:00",3,0
60,143292,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,NULL,1,0
61,143291,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-03-22 00:00:00","2021-01-22 04:01:55","2021-03-26 00:00:00",3,0
62,1749,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2021-02-22 02:00:00",NULL,NULL,1,0
63,1751,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2023-02-22 00:00:00","2023-01-22 08:13:34",NULL,1,0
64,143289,"2021-01-28 23:44:10","2021-01-22 02:00:00",NULL,"2023-01-22 00:00:00","2021-01-22 00:24:07","2022-01-24 00:00:00",3,2
65,1767,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-09-12 00:00:00","2023-02-21 00:00:00","2022-09-12 10:09:58","2023-02-21 00:00:00",2,2
66,1773,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2023-02-21 00:00:00","2022-02-22 10:06:42",NULL,1,2
67,1014,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-22 00:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
68,1778,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-21 00:00:00","2023-01-21 00:00:00","2022-10-28 07:47:34","2023-01-21 00:00:00",3,2
69,1782,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2023-01-21 00:00:00","2021-01-21 21:48:45","2022-01-27 00:00:00",3,2
70,1319,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-17 00:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
71,1299,"2021-01-28 23:44:10","2021-01-21 02:00:00","2023-01-12 00:00:00","2023-01-21 00:00:00","2021-01-21 21:45:04","2023-01-21 00:00:00",3,2
72,3450,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-04-08 00:00:00","2022-04-21 00:00:00","2021-01-21 21:09:59","2022-04-21 00:00:00",3,2
73,1728,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-12-29 00:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
74,1775,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-12-26 00:00:00","2023-01-21 00:00:00","2021-01-21 20:32:25","2023-01-21 00:00:00",3,2
75,2933,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2023-04-21 00:00:00","2022-04-21 08:16:50",NULL,1,2
76,1794,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2024-01-21 00:00:00","2023-01-21 08:20:49",NULL,1,2
77,1954,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-27 00:00:00","2023-01-21 00:00:00","2021-01-21 18:27:24","2022-01-27 00:00:00",3,2
78,804,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-02-20 00:00:00","2021-02-21 00:00:00","2021-01-21 17:10:20","2021-02-21 00:00:00",3,0
79,143287,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2021-02-21 02:00:00",NULL,"2021-02-25 00:00:00",3,0
80,91464,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
81,143286,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2021-02-21 02:00:00",NULL,"2021-02-25 00:00:00",3,0
82,1711,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2024-01-21 00:00:00","2023-01-23 13:13:10",NULL,1,2
83,1795,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2024-01-21 00:00:00","2023-01-21 08:03:33",NULL,1,2
84,1765,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-06-05 00:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
85,1822,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-04-21 00:00:00","2022-03-21 09:16:31","2022-04-25 00:00:00",3,0
86,865,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-21 00:00:00","2023-01-21 00:00:00","2021-01-21 14:30:40","2023-01-21 00:00:00",3,2
87,1819,"2021-01-28 23:44:10","2021-01-21 02:00:00","2023-01-21 00:00:00","2024-01-21 00:00:00","2023-01-21 08:09:22","2024-01-21 00:00:00",2,2
88,1809,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
89,1823,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
90,1835,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-01-21 02:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
91,1594,"2021-01-28 23:44:10","2021-01-21 02:00:00","2023-01-26 00:00:00","2024-01-21 00:00:00","2023-01-25 10:30:19","2024-01-21 00:00:00",2,2
92,1737,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
93,1844,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-01-21 02:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
94,1754,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2023-01-21 00:00:00","2021-01-21 11:16:10","2022-01-21 00:00:00",3,2
95,1538,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
96,1207,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2024-01-21 00:00:00","2023-01-21 08:06:36",NULL,1,2
97,1802,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-04-21 00:00:00","2021-01-21 09:17:56","2022-04-30 00:00:00",3,2
98,1535,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
99,1740,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-04-19 00:00:00","2021-04-21 00:00:00","2021-01-21 08:20:29","2021-04-21 00:00:00",3,0
100,1892,"2021-01-28 23:44:10","2021-01-21 02:00:00","2022-01-21 00:00:00","2023-01-21 00:00:00","2021-01-21 04:04:26","2022-01-24 00:00:00",3,2
101,1896,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-12-18 00:00:00","2022-01-21 02:00:00",NULL,"2022-01-21 00:00:00",3,2
102,1898,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2024-01-21 00:00:00","2023-01-21 08:19:45",NULL,1,2
103,1899,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2022-01-21 02:00:00",NULL,"2022-01-30 00:00:00",3,2
104,1901,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2023-01-21 00:00:00","2022-12-20 09:12:16",NULL,1,2
105,2149,"2021-01-28 23:44:10","2021-01-21 02:00:00","2021-03-23 00:00:00","2021-04-21 00:00:00","2021-01-21 00:38:41","2021-04-21 00:00:00",3,0
106,1910,"2021-01-28 23:44:10","2021-01-21 02:00:00",NULL,"2021-02-21 02:00:00",NULL,"2021-02-25 00:00:00",3,0
107,143268,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 19:20:02",NULL,1,2
108,1912,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-03-20 00:00:00","2021-01-20 23:42:26","2021-03-24 00:00:00",3,0
109,2146,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2021-03-22 00:00:00",3,2
110,1918,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-01-20 00:00:00","2023-01-20 00:00:00","2021-01-20 22:03:33","2023-01-20 00:00:00",3,2
111,2096,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2022-01-29 00:00:00",3,2
112,1924,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2022-01-29 00:00:00",3,2
113,2279,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 08:31:05",NULL,1,2
114,1804,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-01-20 00:00:00","2023-01-20 00:00:00","2021-01-20 20:51:51","2022-01-21 00:00:00",3,2
115,1930,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 08:41:57",NULL,1,2
116,1788,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2021-02-08 00:00:00",3,2
117,1938,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-12-29 00:00:00","2023-01-20 00:00:00","2023-01-03 19:33:27","2023-01-20 00:00:00",3,2
118,896,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2021-02-05 00:00:00",3,2
119,1945,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2023-01-20 00:00:00","2021-01-20 19:09:13","2022-01-31 00:00:00",3,2
